GENOA	B-NONE
drive	I-DESCRIPTIVE
from	I-DESCRIPTIVE
Rome	I-DESCRIPTIVE
,	I-DESCRIPTIVE

where	B-NARRATIVE
she	I-NARRATIVE
lives	I-NARRATIVE

and	B-NARRATIVE
works	I-NARRATIVE
.	I-NARRATIVE

I	B-NARRATIVE
spent	I-NARRATIVE
most	I-NARRATIVE
of	I-NARRATIVE
last	I-NARRATIVE
year	I-NARRATIVE

writing	B-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
finally	I-NARRATIVE
managed	I-NARRATIVE

to	B-NARRATIVE
publish	I-NARRATIVE
Seven	I-NARRATIVE
Steps	I-NARRATIVE
from	I-NARRATIVE
Snowdon	I-NARRATIVE
to	I-NARRATIVE
Everest	I-NARRATIVE
,	I-NARRATIVE

the	B-NARRATIVE
book	I-NARRATIVE
I’ve	I-NARRATIVE
been	I-NARRATIVE
working	I-NARRATIVE
on	I-NARRATIVE
for	I-NARRATIVE
the	I-NARRATIVE
last	I-NARRATIVE
three	I-NARRATIVE
years	I-NARRATIVE
,	I-NARRATIVE

in	I-NARRATIVE
November	I-NARRATIVE
.	I-NARRATIVE

I	B-NARRATIVE
knew	I-NARRATIVE

that	B-NARRATIVE
this	I-NARRATIVE
year	I-NARRATIVE
I	I-NARRATIVE
would	I-NARRATIVE
need	I-NARRATIVE
to	I-NARRATIVE
get	I-NARRATIVE
a	I-NARRATIVE
job	I-NARRATIVE
.	I-NARRATIVE

I	B-ARGUMENTATIVE
was	I-ARGUMENTATIVE
absolutely	I-ARGUMENTATIVE
delighted	I-ARGUMENTATIVE

to	B-NARRATIVE
find	I-NARRATIVE
one	I-NARRATIVE
in	I-NARRATIVE
Rome	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
last	I-NARRATIVE
month	I-NARRATIVE
I	I-NARRATIVE
moved	I-NARRATIVE
there	I-NARRATIVE
.	I-NARRATIVE

Although	B-NARRATIVE
I’ve	I-NARRATIVE
never	I-NARRATIVE
had	I-NARRATIVE
to	I-NARRATIVE
hide	I-NARRATIVE
from	I-NARRATIVE
Germans	I-NARRATIVE

or	B-NARRATIVE
spend	I-NARRATIVE
a	I-NARRATIVE
winter	I-NARRATIVE

cooped	B-NARRATIVE
up	I-NARRATIVE
in	I-NARRATIVE
a	I-NARRATIVE
cave	I-NARRATIVE
,	I-NARRATIVE

there	B-ARGUMENTATIVE
were	I-ARGUMENTATIVE
two	I-ARGUMENTATIVE
aspects	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
Eric	I-ARGUMENTATIVE
Newby’s	I-ARGUMENTATIVE
book	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
I	I-ARGUMENTATIVE
could	I-ARGUMENTATIVE
relate	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
good	I-ARGUMENTATIVE
deal	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

As	B-NARRATIVE
we’ve	I-NARRATIVE
explored	I-NARRATIVE
the	I-NARRATIVE
mountains	I-NARRATIVE
of	I-NARRATIVE
Abruzzo	I-NARRATIVE
and	I-NARRATIVE
the	I-NARRATIVE
restaurants	I-NARRATIVE
and	I-NARRATIVE
antiquities	I-NARRATIVE
of	I-NARRATIVE
Rome	I-NARRATIVE
,	I-NARRATIVE

like	B-ARGUMENTATIVE
Newby	I-ARGUMENTATIVE
I’ve	I-ARGUMENTATIVE
found	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
Italians	I-ARGUMENTATIVE
incredibly	I-ARGUMENTATIVE
welcoming	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

There	B-EXPOSITORY
is	I-EXPOSITORY
a	I-EXPOSITORY
much	I-EXPOSITORY
more	I-EXPOSITORY
relaxed	I-EXPOSITORY
attitude	I-EXPOSITORY
to	I-EXPOSITORY
life	I-EXPOSITORY
here	I-EXPOSITORY
;	I-EXPOSITORY

people	B-EXPOSITORY
seem	I-EXPOSITORY

to	B-EXPOSITORY
be	I-EXPOSITORY
less	I-EXPOSITORY
rule-bound	I-EXPOSITORY

than	B-EXPOSITORY
they	I-EXPOSITORY
are	I-EXPOSITORY
back	I-EXPOSITORY
in	I-EXPOSITORY
the	I-EXPOSITORY
UK	I-EXPOSITORY
,	I-EXPOSITORY

much	B-EXPOSITORY
more	I-EXPOSITORY
inclined	I-EXPOSITORY
to	I-EXPOSITORY
take	I-EXPOSITORY
things	I-EXPOSITORY
as	I-EXPOSITORY
they	I-EXPOSITORY
come	I-EXPOSITORY
,	I-EXPOSITORY

without	B-EXPOSITORY
getting	I-EXPOSITORY
annoyed	I-EXPOSITORY
about	I-EXPOSITORY
the	I-EXPOSITORY
unexpected	I-EXPOSITORY
.	I-EXPOSITORY

I’m	B-NARRATIVE
still	I-NARRATIVE
learning	I-NARRATIVE
the	I-NARRATIVE
culture	I-NARRATIVE
here	I-NARRATIVE
,	I-NARRATIVE

but	B-ARGUMENTATIVE
this	I-ARGUMENTATIVE
may	I-ARGUMENTATIVE
be	I-ARGUMENTATIVE
reflected	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
their	I-ARGUMENTATIVE
friendly	I-ARGUMENTATIVE
attitude	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
strangers	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

In	B-NARRATIVE
the	I-NARRATIVE
months	I-NARRATIVE
I	I-NARRATIVE
spent	I-NARRATIVE

visiting	B-NARRATIVE

I	B-NARRATIVE
felt	I-NARRATIVE

like	B-NARRATIVE
Edita	I-NARRATIVE
had	I-NARRATIVE
an	I-NARRATIVE
adopted	I-NARRATIVE
Italian	I-NARRATIVE
family	I-NARRATIVE
,	I-NARRATIVE

so	B-ARGUMENTATIVE
hospitable	I-ARGUMENTATIVE
had	I-ARGUMENTATIVE
her	I-ARGUMENTATIVE
landlady	I-ARGUMENTATIVE
and	I-ARGUMENTATIVE
their	I-ARGUMENTATIVE
family	I-ARGUMENTATIVE
been	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
her	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

and	B-NARRATIVE
now	I-NARRATIVE

that	B-NARRATIVE
I	I-NARRATIVE
am	I-NARRATIVE
here	I-NARRATIVE

I	I-NARRATIVE
feel	I-NARRATIVE

like	B-ARGUMENTATIVE
I’ve	I-ARGUMENTATIVE
been	I-ARGUMENTATIVE
welcomed	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
same	I-ARGUMENTATIVE
way	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

It’s	B-NARRATIVE
been	I-NARRATIVE
a	I-NARRATIVE
similar	I-NARRATIVE
story	I-NARRATIVE
at	I-NARRATIVE
our	I-NARRATIVE
two	I-NARRATIVE
local	I-NARRATIVE
restaurants	I-NARRATIVE
.	I-NARRATIVE

In	B-ARGUMENTATIVE
one	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
them	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
chef	I-ARGUMENTATIVE
speaks	I-ARGUMENTATIVE
very	I-ARGUMENTATIVE
good	I-ARGUMENTATIVE
English	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

and	B-NARRATIVE
always	I-NARRATIVE
has	I-NARRATIVE
something	I-NARRATIVE
special	I-NARRATIVE
for	I-NARRATIVE
us	I-NARRATIVE

when	B-NARRATIVE
we	I-NARRATIVE
go	I-NARRATIVE
.	I-NARRATIVE

In	B-NARRATIVE
the	I-NARRATIVE
other	I-NARRATIVE
they	I-NARRATIVE
don’t	I-NARRATIVE
speak	I-NARRATIVE
much	I-NARRATIVE
English	I-NARRATIVE
,	I-NARRATIVE

but	B-ARGUMENTATIVE
they	I-ARGUMENTATIVE
are	I-ARGUMENTATIVE
always	I-ARGUMENTATIVE
happy	I-ARGUMENTATIVE

to	B-NARRATIVE
see	I-NARRATIVE
us	I-NARRATIVE
,	I-NARRATIVE

and	I-ARGUMENTATIVE
very	I-ARGUMENTATIVE
patient	I-ARGUMENTATIVE
with	I-ARGUMENTATIVE
me	I-ARGUMENTATIVE

as	B-ARGUMENTATIVE
I	I-ARGUMENTATIVE
learn	I-ARGUMENTATIVE
Italian	I-ARGUMENTATIVE
pathetically	I-ARGUMENTATIVE
slowly	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Italians	B-EXPOSITORY
are	I-EXPOSITORY
also	I-EXPOSITORY
much	I-EXPOSITORY
more	I-EXPOSITORY
helpful	I-EXPOSITORY

when	B-EXPOSITORY
it	I-EXPOSITORY
comes	I-EXPOSITORY

to	B-EXPOSITORY
learning	I-EXPOSITORY
their	I-EXPOSITORY
language	I-EXPOSITORY
.	I-EXPOSITORY

They	B-EXPOSITORY
will	I-EXPOSITORY
let	I-EXPOSITORY
me	I-EXPOSITORY
struggle	I-EXPOSITORY
in	I-EXPOSITORY
Italian	I-EXPOSITORY
for	I-EXPOSITORY
as	I-EXPOSITORY
long	I-EXPOSITORY

as	B-NARRATIVE
I	I-NARRATIVE
like	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
only	I-NARRATIVE
when	I-NARRATIVE
I	I-NARRATIVE
give	I-NARRATIVE
up	I-NARRATIVE

and	B-NARRATIVE
resort	I-NARRATIVE
to	I-NARRATIVE
English	I-NARRATIVE

will	B-NARRATIVE
I	I-NARRATIVE
discover	I-NARRATIVE

their	B-ARGUMENTATIVE
own	I-ARGUMENTATIVE
English	I-ARGUMENTATIVE
is	I-ARGUMENTATIVE
pretty	I-ARGUMENTATIVE
good	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

This	B-EXPOSITORY
is	I-EXPOSITORY
impossible	I-EXPOSITORY
in	I-EXPOSITORY
France	I-EXPOSITORY
,	I-EXPOSITORY

where	B-NARRATIVE
as	B-NARRATIVE
soon	I-NARRATIVE
as	I-NARRATIVE
you	I-NARRATIVE
try	I-NARRATIVE
a	I-NARRATIVE
bit	I-NARRATIVE
of	I-NARRATIVE
French	I-NARRATIVE

they	I-NARRATIVE
immediately	I-NARRATIVE
talk	I-NARRATIVE
back	I-NARRATIVE
to	I-NARRATIVE
you	I-NARRATIVE
in	I-NARRATIVE
English	I-NARRATIVE
.	I-NARRATIVE

The	B-ARGUMENTATIVE
second	I-ARGUMENTATIVE
aspect	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
Eric	I-ARGUMENTATIVE
Newby’s	I-ARGUMENTATIVE
book	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
is	I-ARGUMENTATIVE
familiar	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
me	I-ARGUMENTATIVE

are	B-ARGUMENTATIVE
his	I-ARGUMENTATIVE
vivid	I-ARGUMENTATIVE
descriptions	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
mountainous	I-ARGUMENTATIVE
scenery	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
I’ve	I-ARGUMENTATIVE
grown	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
love	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Everybody	B-EXPOSITORY
knows	I-EXPOSITORY
about	I-EXPOSITORY
the	I-EXPOSITORY
Alps	I-EXPOSITORY
and	I-EXPOSITORY
the	I-EXPOSITORY
Dolomites	I-EXPOSITORY
in	I-EXPOSITORY
the	I-EXPOSITORY
north	I-EXPOSITORY
of	I-EXPOSITORY
Italy	I-EXPOSITORY
,	I-EXPOSITORY

but	B-ARGUMENTATIVE
the	I-ARGUMENTATIVE
Apennines	I-ARGUMENTATIVE
are	I-ARGUMENTATIVE
something	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
an	I-ARGUMENTATIVE
undiscovered	I-ARGUMENTATIVE
gem	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

They	B-DESCRIPTIVE
stretch	I-DESCRIPTIVE
the	I-DESCRIPTIVE
full	I-DESCRIPTIVE
length	I-DESCRIPTIVE
of	I-DESCRIPTIVE
peninsular	I-DESCRIPTIVE
Italy	I-DESCRIPTIVE
,	I-DESCRIPTIVE

starting	B-DESCRIPTIVE
beside	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Ligurian	I-DESCRIPTIVE
Sea	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
northwest	I-DESCRIPTIVE
,	I-DESCRIPTIVE

and	B-DESCRIPTIVE
extending	I-DESCRIPTIVE
all	I-DESCRIPTIVE
the	I-DESCRIPTIVE
way	I-DESCRIPTIVE
down	I-DESCRIPTIVE
the	I-DESCRIPTIVE
spine	I-DESCRIPTIVE
of	I-DESCRIPTIVE
the	I-DESCRIPTIVE
country	I-DESCRIPTIVE
to	I-DESCRIPTIVE
Calabria	I-DESCRIPTIVE
,	I-DESCRIPTIVE

the	B-DESCRIPTIVE
region	I-DESCRIPTIVE
embracing	I-DESCRIPTIVE
Italy’s	I-DESCRIPTIVE
toe	I-DESCRIPTIVE
.	I-DESCRIPTIVE

The	B-DESCRIPTIVE
mountain	I-DESCRIPTIVE
chain	I-DESCRIPTIVE
even	I-DESCRIPTIVE
continues	I-DESCRIPTIVE
into	I-DESCRIPTIVE
Sicily	I-DESCRIPTIVE
,	I-DESCRIPTIVE

the	B-DESCRIPTIVE
island	I-DESCRIPTIVE
football	I-DESCRIPTIVE
that	I-DESCRIPTIVE
Italy’s	I-DESCRIPTIVE
boot	I-DESCRIPTIVE
appears	I-DESCRIPTIVE

to	B-DESCRIPTIVE
be	I-DESCRIPTIVE
kicking	I-DESCRIPTIVE
.	I-DESCRIPTIVE

The	B-DESCRIPTIVE
Apennines	I-DESCRIPTIVE
are	I-DESCRIPTIVE
not	I-DESCRIPTIVE
as	I-DESCRIPTIVE
high	I-DESCRIPTIVE
as	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Alps	I-DESCRIPTIVE
or	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Dolomites	I-DESCRIPTIVE
,	I-DESCRIPTIVE

but	B-ARGUMENTATIVE
in	I-ARGUMENTATIVE
some	I-ARGUMENTATIVE
ways	I-ARGUMENTATIVE
this	I-ARGUMENTATIVE
makes	I-ARGUMENTATIVE
them	I-ARGUMENTATIVE
more	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
paradise	I-ARGUMENTATIVE
for	I-ARGUMENTATIVE
hill	I-ARGUMENTATIVE
walkers	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Mountaineering	B-NARRATIVE
skills	I-NARRATIVE
are	I-NARRATIVE
needed	I-NARRATIVE
to	I-NARRATIVE
reach	I-NARRATIVE
the	I-NARRATIVE
tops	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
snow-capped	I-NARRATIVE
Alps	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
rock	I-NARRATIVE
climbing	I-NARRATIVE
skills	I-NARRATIVE

to	B-NARRATIVE
ascend	I-NARRATIVE
the	I-NARRATIVE
sheer	I-NARRATIVE
towers	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
Dolomites	I-NARRATIVE
,	I-NARRATIVE

but	B-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
summer	I-DESCRIPTIVE
pretty	I-DESCRIPTIVE
much	I-DESCRIPTIVE
every	I-DESCRIPTIVE
peak	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Apennines	I-DESCRIPTIVE
is	I-DESCRIPTIVE
a	I-DESCRIPTIVE
walk	I-DESCRIPTIVE
up	I-DESCRIPTIVE
.	I-DESCRIPTIVE

This	B-ARGUMENTATIVE
doesn’t	I-ARGUMENTATIVE
make	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
scenery	I-ARGUMENTATIVE
any	I-ARGUMENTATIVE
less	I-ARGUMENTATIVE
grand	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
though	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Many	B-DESCRIPTIVE
of	I-DESCRIPTIVE
these	I-DESCRIPTIVE
peaks	I-DESCRIPTIVE
are	I-DESCRIPTIVE
twice	I-DESCRIPTIVE
as	I-DESCRIPTIVE
high	I-DESCRIPTIVE
as	I-DESCRIPTIVE
anything	I-DESCRIPTIVE
back	I-DESCRIPTIVE
home	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
UK	I-DESCRIPTIVE
.	I-DESCRIPTIVE

Corno	B-DESCRIPTIVE
Grande	I-DESCRIPTIVE
(	I-DESCRIPTIVE
2912m	I-DESCRIPTIVE
)	I-DESCRIPTIVE
is	I-DESCRIPTIVE
the	I-DESCRIPTIVE
highest	I-DESCRIPTIVE
mountain	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Apennines	I-DESCRIPTIVE
,	I-DESCRIPTIVE

and	B-ARGUMENTATIVE
is	I-ARGUMENTATIVE
as	I-ARGUMENTATIVE
striking	I-ARGUMENTATIVE
as	I-ARGUMENTATIVE
any	I-ARGUMENTATIVE
peak	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
Italy’s	I-ARGUMENTATIVE
two	I-ARGUMENTATIVE
better-known	I-ARGUMENTATIVE
mountain	I-ARGUMENTATIVE
ranges	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

It	B-DESCRIPTIVE
rises	I-DESCRIPTIVE
up	I-DESCRIPTIVE
as	I-DESCRIPTIVE
a	I-DESCRIPTIVE
wall	I-DESCRIPTIVE
of	I-DESCRIPTIVE
rock	I-DESCRIPTIVE
a	I-DESCRIPTIVE
few	I-DESCRIPTIVE
hundred	I-DESCRIPTIVE
metres	I-DESCRIPTIVE
higher	I-DESCRIPTIVE
than	I-DESCRIPTIVE
anything	I-DESCRIPTIVE
surrounding	I-DESCRIPTIVE
it	I-DESCRIPTIVE
.	I-DESCRIPTIVE

From	B-ARGUMENTATIVE
any	I-ARGUMENTATIVE
summit	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
Abruzzo	I-ARGUMENTATIVE
it’s	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
most	I-ARGUMENTATIVE
notable	I-ARGUMENTATIVE
peak	I-ARGUMENTATIVE
for	I-ARGUMENTATIVE
miles	I-ARGUMENTATIVE
around	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

It	B-DESCRIPTIVE
looks	I-DESCRIPTIVE
unscalable	I-DESCRIPTIVE
to	I-DESCRIPTIVE
all	I-DESCRIPTIVE
but	I-DESCRIPTIVE
the	I-DESCRIPTIVE
most	I-DESCRIPTIVE
gifted	I-DESCRIPTIVE
rock	I-DESCRIPTIVE
climbers	I-DESCRIPTIVE
,	I-DESCRIPTIVE

but	B-ARGUMENTATIVE
it’s	I-ARGUMENTATIVE
highest	I-ARGUMENTATIVE
point	I-ARGUMENTATIVE
is	I-ARGUMENTATIVE
little	I-ARGUMENTATIVE
more	I-ARGUMENTATIVE
than	I-ARGUMENTATIVE
an	I-ARGUMENTATIVE
easy	I-ARGUMENTATIVE
scramble	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

In	B-NARRATIVE
summer	I-NARRATIVE
it’s	I-NARRATIVE
crawling	I-NARRATIVE
with	I-NARRATIVE
novice	I-NARRATIVE
hill	I-NARRATIVE
walkers	I-NARRATIVE

in	B-NARRATIVE
the	I-NARRATIVE
same	I-NARRATIVE
way	I-NARRATIVE
that	I-NARRATIVE
Snowdon	I-NARRATIVE
is	I-NARRATIVE
,	I-NARRATIVE

all	B-ARGUMENTATIVE
of	I-ARGUMENTATIVE
whom	I-ARGUMENTATIVE
love	I-ARGUMENTATIVE
their	I-ARGUMENTATIVE
rare	I-ARGUMENTATIVE
day	I-ARGUMENTATIVE
out	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
hills	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

At	B-NARRATIVE
one	I-NARRATIVE
point	I-NARRATIVE
in	I-NARRATIVE
Love	I-NARRATIVE
and	I-NARRATIVE
War	I-NARRATIVE
in	I-NARRATIVE
the	I-NARRATIVE
Apennines	I-NARRATIVE
,	I-NARRATIVE
Eric	I-NARRATIVE
Newby	I-NARRATIVE
treks	I-NARRATIVE
for	I-NARRATIVE
a	I-NARRATIVE
day	I-NARRATIVE

to	B-NARRATIVE
cross	I-NARRATIVE
the	I-NARRATIVE
main	I-NARRATIVE
crinale	I-NARRATIVE
(	I-NARRATIVE
ridge	I-NARRATIVE
)	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
mountains	I-NARRATIVE

and	B-NARRATIVE
look	I-NARRATIVE
down	I-NARRATIVE
on	I-NARRATIVE
the	I-NARRATIVE
Ligurian	I-NARRATIVE
Sea	I-NARRATIVE
,	I-NARRATIVE
a	I-NARRATIVE
corner	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
Mediterranean	I-NARRATIVE
to	I-NARRATIVE
the	I-NARRATIVE
west	I-NARRATIVE
.	I-NARRATIVE

From	B-NARRATIVE
many	I-NARRATIVE
summits	I-NARRATIVE
in	I-NARRATIVE
Abruzzo	I-NARRATIVE
we	I-NARRATIVE
have	I-NARRATIVE
been	I-NARRATIVE
able	I-NARRATIVE

to	B-NARRATIVE
see	I-NARRATIVE
the	I-NARRATIVE
Adriatic	I-NARRATIVE
Sea	I-NARRATIVE
to	I-NARRATIVE
the	I-NARRATIVE
east	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
from	I-NARRATIVE
one	I-NARRATIVE
summit	I-NARRATIVE
in	I-NARRATIVE
Lazio	I-NARRATIVE
,	I-NARRATIVE
Monte	I-NARRATIVE
Terminillo	I-NARRATIVE
,	I-NARRATIVE
we	I-NARRATIVE
could	I-NARRATIVE
look	I-NARRATIVE
down	I-NARRATIVE
at	I-NARRATIVE
the	I-NARRATIVE
sea	I-NARRATIVE
on	I-NARRATIVE
both	I-NARRATIVE
sides	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
Italian	I-NARRATIVE
peninsula	I-NARRATIVE
.	I-NARRATIVE

Eric	B-NARRATIVE
Newby	I-NARRATIVE
was	I-NARRATIVE
warned	I-NARRATIVE

not	B-NARRATIVE
to	I-NARRATIVE
leave	I-NARRATIVE
the	I-NARRATIVE
trails	I-NARRATIVE

and	B-NARRATIVE
get	I-NARRATIVE
lost	I-NARRATIVE
in	I-NARRATIVE
the	I-NARRATIVE
forest	I-NARRATIVE
,	I-NARRATIVE

or	B-NARRATIVE
they	I-NARRATIVE
would	I-NARRATIVE
never	I-NARRATIVE
be	I-NARRATIVE
able	I-NARRATIVE

to	B-NARRATIVE
find	I-NARRATIVE
him	I-NARRATIVE
.	I-NARRATIVE

He	B-NARRATIVE
failed	I-NARRATIVE

to	B-NARRATIVE
heed	I-NARRATIVE
this	I-NARRATIVE
advice	I-NARRATIVE

and	B-NARRATIVE
took	I-NARRATIVE
a	I-NARRATIVE
wrong	I-NARRATIVE
turn	I-NARRATIVE
,	I-NARRATIVE

resulting	B-ARGUMENTATIVE
in	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
soul-destroying	I-ARGUMENTATIVE
afternoon	I-ARGUMENTATIVE

spent	B-NARRATIVE
sliding	I-NARRATIVE
down	I-NARRATIVE
a	I-NARRATIVE
precipitous	I-NARRATIVE
hillside	I-NARRATIVE

tangled	B-DESCRIPTIVE
with	I-DESCRIPTIVE
brambles	I-DESCRIPTIVE
.	I-DESCRIPTIVE

Most	B-DESCRIPTIVE
mountains	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
UK	I-DESCRIPTIVE
are	I-DESCRIPTIVE
bare	I-DESCRIPTIVE
,	I-DESCRIPTIVE
windswept	I-DESCRIPTIVE
hillsides	I-DESCRIPTIVE
,	I-DESCRIPTIVE
with	I-DESCRIPTIVE
only	I-DESCRIPTIVE
a	I-DESCRIPTIVE
few	I-DESCRIPTIVE
short	I-DESCRIPTIVE
pockets	I-DESCRIPTIVE
of	I-DESCRIPTIVE
woodland	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
valleys	I-DESCRIPTIVE
beneath	I-DESCRIPTIVE
.	I-DESCRIPTIVE

But	B-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Apennines	I-DESCRIPTIVE
entire	I-DESCRIPTIVE
mountains	I-DESCRIPTIVE
are	I-DESCRIPTIVE
carpeted	I-DESCRIPTIVE
in	I-DESCRIPTIVE
forest	I-DESCRIPTIVE
for	I-DESCRIPTIVE
hundreds	I-DESCRIPTIVE
of	I-DESCRIPTIVE
metres	I-DESCRIPTIVE
.	I-DESCRIPTIVE

On	B-NARRATIVE
two	I-NARRATIVE
or	I-NARRATIVE
three	I-NARRATIVE
occasions	I-NARRATIVE
we	I-NARRATIVE
have	I-NARRATIVE
climbed	I-NARRATIVE
through	I-NARRATIVE
thick	I-NARRATIVE
forest	I-NARRATIVE
for	I-NARRATIVE
a	I-NARRATIVE
thousand	I-NARRATIVE
vertical	I-NARRATIVE
metres	I-NARRATIVE
.	I-NARRATIVE

Were	B-NARRATIVE
it	I-NARRATIVE
not	I-NARRATIVE
for	I-NARRATIVE
the	I-NARRATIVE
paint-marked	I-NARRATIVE
trails	I-NARRATIVE

marking	B-NARRATIVE
the	I-NARRATIVE
route	I-NARRATIVE

we	B-ARGUMENTATIVE
could	I-ARGUMENTATIVE
easily	I-ARGUMENTATIVE
have	I-ARGUMENTATIVE
become	I-ARGUMENTATIVE
hopelessly	I-ARGUMENTATIVE
lost	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

And	B-NARRATIVE
then	I-NARRATIVE
there	I-NARRATIVE
is	I-NARRATIVE
the	I-NARRATIVE
snow	I-NARRATIVE
.	I-NARRATIVE

They	B-NARRATIVE
told	I-NARRATIVE
Eric	I-NARRATIVE
Newby	I-NARRATIVE

that	B-NARRATIVE
when	I-NARRATIVE
the	I-NARRATIVE
winter	I-NARRATIVE
came	I-NARRATIVE

the	B-NARRATIVE
Germans	I-NARRATIVE
would	I-NARRATIVE
come	I-NARRATIVE
for	I-NARRATIVE
him	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
there	I-NARRATIVE
would	I-NARRATIVE
be	I-NARRATIVE
no	I-NARRATIVE
escape	I-NARRATIVE
.	I-NARRATIVE

Snowshoeing	B-DESCRIPTIVE
is	I-DESCRIPTIVE
a	I-DESCRIPTIVE
popular	I-DESCRIPTIVE
winter	I-DESCRIPTIVE
pastime	I-DESCRIPTIVE
among	I-DESCRIPTIVE
hikers	I-DESCRIPTIVE
here	I-DESCRIPTIVE
in	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Apennines	I-DESCRIPTIVE
.	I-DESCRIPTIVE

The	B-NARRATIVE
snow	I-NARRATIVE
can	I-NARRATIVE
become	I-NARRATIVE
several	I-NARRATIVE
metres	I-NARRATIVE
thick	I-NARRATIVE
in	I-NARRATIVE
places	I-NARRATIVE
.	I-NARRATIVE

Luckily	B-ARGUMENTATIVE
I	I-ARGUMENTATIVE
have	I-ARGUMENTATIVE
Edita	I-ARGUMENTATIVE

to	B-NARRATIVE
break	I-NARRATIVE
trail	I-NARRATIVE
for	I-NARRATIVE
me	I-NARRATIVE
.	I-NARRATIVE

If	B-NARRATIVE
you	I-NARRATIVE
